accommodage	m	s	0
accommodages	m	p	0
accommodat	m	s	0
accommodation	f	s	0
accommodations	f	p	0
accommodats	m	p	0
accommodement	m	s	0
accommodements	m	p	0
accompagnant	m	s	0
accompagnante	f	s	0
accompagnantes	f	p	0
accompagnants	m	p	0
accompagnateur	m	s	0
accompagnateurs	m	p	0
accompagnatrice	f	s	0
accompagnatrices	f	p	0
accompagnement	m	s	0
accompagnements	m	p	0
accompli	m	s	1
accomplis	m	p	1
accomplissement	m	s	0
accomplissements	m	p	0
accorage	m	s	0
accorages	m	p	0
accord	m	s	0
accordage	m	s	0
accordages	m	p	0
accordaille	f	s	0
accordailles	f	p	0
accordement	m	s	0
accordements	m	p	0
accordeur	m	s	0
accordeurs	m	p	0
accordoir	m	s	0
accordoirs	m	p	0
accords	m	p	0
accordé	m	s	1
accordée	f	s	1
accordées	f	p	1
accordéon	m	s	0
accordéons	m	p	0
accordés	m	p	1
accore	f	s	1
accores	f	p	1
accostage	m	s	0
accostages	m	p	0
accostement	m	s	0
accostements	m	p	0
accot	m	s	0
accotement	m	s	0
accotements	m	p	0
accotoir	m	s	0
accotoirs	m	p	0
accots	m	p	0
accouchement	m	s	0
accouchements	m	p	0
accoucheur	m	s	1
accoucheurs	m	p	1
accoucheuse	f	s	1
accoucheuses	f	p	1
accouchée	f	s	1
accouchées	f	p	1
accoudement	m	s	0
accoudements	m	p	0
accoudoir	m	s	0
accoudoirs	m	p	0
accouplage	m	s	0
accouplages	m	p	0
accouple	f	s	0
accouplement	m	s	0
accouplements	m	p	0
accouples	f	p	0
accourcissement	m	s	0
accourcissements	m	p	0
accoutrement	m	s	0
accoutrements	m	p	0
accoutumance	f	s	0
accoutumances	f	p	0
accoutumée	f	s	1
accoutumées	f	p	1
accouvage	m	s	0
accouvages	m	p	0
accroc	m	s	0
accrochage	m	s	0
accrochages	m	p	0
accroche	f	s	0
accrochement	m	s	0
accrochements	m	p	0
accroches	f	p	0
accrocheur	m	s	1
